lat,lng,max temp,humidity,cloudiness,wind speed,country,date
35.7333,140.8333,270.37,42,3,7.25,JP,1644186006
-12.2333,136.7667,299.49,83,100,1.54,AU,1644185882
51.0333,-4.2167,281.49,81,16,9.83,GB,1644186009
13.35,-15.75,300.6,20,1,2.28,GM,1644186010
42.0304,-8.1588,277.64,72,93,2.5,PT,1644186011
18.9667,-91.1833,296.89,75,56,3.82,MX,1644186014
17.5167,-101.2667,304.04,45,5,3.35,MX,1644186015
-45.8742,170.5036,286.77,66,38,1.86,NZ,1644185997
33.7445,-118.387,302.14,51,0,3.13,US,1644186020
14.3122,121.1114,299.14,81,95,6.06,PH,1644186021
60.7167,-46.0333,259.43,70,100,2.18,GL,1644186023
-8.8978,-35.1478,299.84,72,59,5.61,BR,1644186024
19.9103,109.6859,292.51,94,72,4.36,CN,1644185930
45.6169,-61.3485,264.92,85,100,3.09,CA,1644186026
-9.6658,-35.7353,298.84,78,0,3.6,BR,1644186028
65.75,150.85,233.27,100,44,1.8,RU,1644185953
12.485,-16.5469,295.87,62,0,2.95,SN,1644186030
-20.0167,148.2333,297.85,70,45,5.71,AU,1644186031
-34.4833,-54.3333,291.96,63,59,8.23,UY,1644185847
34.6851,135.8049,275.75,62,36,1.39,JP,1644186034
53.5739,142.9478,256.29,93,100,10.57,RU,1644186035
10.3744,10.7288,294.65,21,0,4.02,NG,1644186037
13.6393,4.0287,295.41,13,0,4.8,NE,1644186038
33.2531,119.9133,272.91,93,100,1.5,CN,1644186040
-13.7,-76.2167,294.18,83,39,3.6,PE,1644186042
4.423,-7.3528,299.72,81,94,3.98,CI,1644186043
36.3209,41.8754,280.13,50,99,0.46,IQ,1644186045
-25.1667,45.05,296.57,94,100,8.02,MG,1644186047
-35.35,150.4667,290.98,80,76,5,AU,1644186048
49.9168,-109.4848,282.38,60,78,3.6,CA,1644185972
-16.4833,-151.75,300.7,75,100,9.09,PF,1644186051
49.6835,-83.6665,260.29,93,100,4.02,CA,1644186052
-15.1022,-44.0919,293.76,98,100,0.97,BR,1644186054
-20.4081,57.7,299.4,89,40,4.12,MU,1644186055
27.8964,-81.8431,294.85,77,75,0.45,US,1644185835
-32.5,137.7667,300.77,27,10,7.83,AU,1644185963
22.8909,-109.9124,296.82,61,0,0.89,MX,1644185849
66.0449,-17.3389,267.1,83,99,2.6,IS,1644186060
11.2833,-15.25,297.32,73,1,3.98,GW,1644186061
64.8569,-147.8028,253.86,78,75,0,US,1644186012
-38.3667,178.3,291.8,98,100,5.3,NZ,1644186063
-32.035,-52.0986,295.34,57,75,5.42,BR,1644185916
-2.5744,150.7967,301.13,74,61,1.07,PG,1644186045
-15.9653,-54.9683,297.12,89,100,0.63,BR,1644186067
37.7167,-25.4333,289.93,86,75,5.82,PT,1644186068
45.5234,-122.6762,290.7,66,40,0.45,US,1644185854
16.9206,97.3714,294.95,84,40,1.13,MM,1644186071
-19.9842,57.6142,299.52,82,85,1.34,MU,1644186073
31.7167,130.2667,275.85,74,100,2.56,JP,1644186075
40.1629,-8.3327,284.71,64,46,1.77,PT,1644186076
-5.55,12.2,298.3,87,83,2.63,AO,1644186079
-23.65,-70.4,293.75,70,1,2.56,CL,1644185852
8.4109,20.6473,294.94,17,70,2.91,CF,1644186081
-51.6226,-69.2181,295.18,37,75,9.26,AR,1644186084
25.5198,90.2201,283.85,80,0,1.47,IN,1644186085
-33.8667,121.9,290.27,59,63,11.14,AU,1644185937
-23.5333,148.1667,296.12,57,0,6.47,AU,1644186088
43.5417,21.7078,277.9,88,29,2.94,RS,1644186089
65.4167,-52.9,257.68,75,100,6.82,GL,1644185864
70.3705,31.1107,268.26,80,76,9.31,NO,1644186091
15.1333,-23.2167,294.59,80,0,6.46,CV,1644186093
37.4636,-122.4286,295.09,48,0,0.45,US,1644186094
40.7391,-114.0733,277.83,40,0,1.04,US,1644186095
22.5667,59.5289,294.51,68,1,2.86,OM,1644186097
59.7,150.1667,257.05,72,61,4.7,RU,1644186098
54.6333,-8.45,275.62,75,69,4.9,IE,1644186099
13.7796,124.39,298.24,86,95,6.14,PH,1644186101
-20.3297,-40.2925,300.12,85,40,3.58,BR,1644186102
35.507,27.2132,284.13,82,5,3.6,GR,1644186103
51.8833,116.25,247.44,100,79,0.88,RU,1644186105
40.4272,71.7189,277.55,81,75,1.03,UZ,1644186106
78.2186,15.6401,265.06,67,20,5.66,SJ,1644186100
29.1268,15.9477,287.96,20,52,3.13,LY,1644186109
29.4333,-110.4,297.33,22,0,3.14,MX,1644186110
51.8333,143.1667,258.42,84,100,6.43,RU,1644186111
16.7833,94.7333,291.84,60,88,3.2,MM,1644186113
-8.7676,160.7034,300.78,84,100,4.19,SB,1644185910
65.9702,-18.5286,267.11,90,99,2.83,IS,1644186115
7.7102,81.6924,297.56,80,94,3.54,LK,1644186117
-3.2778,-39.2689,299.04,77,92,3.6,BR,1644186118
-8.4689,29.6619,293.17,92,100,2.2,ZM,1644186119
27.9167,96.1667,283.05,83,65,1.84,IN,1644186121
10.8639,0.205,299.27,15,0,2.8,TG,1644186122
24.4667,69.584,291.53,74,0,3.99,PK,1644186123
6.1241,81.1185,296.84,73,92,3.76,LK,1644186126
-20.2078,57.7625,299.31,83,92,4.14,MU,1644186127
-3.6667,152.4333,301.43,71,35,1.67,PG,1644185946
54.3496,31.838,272.1,95,100,6.85,RU,1644186017
-19.8,-174.35,299.74,76,100,10.79,TO,1644186131
-26.8241,-65.2226,297.15,60,40,2.06,AR,1644186132
61.2181,-149.9003,272.21,89,100,0,US,1644186002
39.0851,17.1178,283.2,85,57,5.22,IT,1644186135
59.0925,57.8008,260.71,65,100,4.85,RU,1644186136
59.863,38.3813,261.27,96,99,3.01,RU,1644186137
1.6481,14.5806,296.31,29,98,0.33,CG,1644186139
38.421,-121.4238,295.18,46,0,1.34,US,1644186140
60.3778,92.6267,260.63,98,100,0.98,RU,1644186080
53.8251,-101.2541,255.16,71,100,5.66,CA,1644186142
34.6667,138.95,275.43,83,69,2.2,JP,1644185995
3.4836,34.1492,294.1,36,94,1.53,UG,1644186146
60.8156,-115.7999,269.14,80,75,3.6,CA,1644186147
-11.6622,-38.0172,297.77,79,68,4.02,BR,1644186149
-3.6954,128.1814,297.23,94,40,3.6,ID,1644186150
41.3118,16.2908,285.26,70,12,5.63,IT,1644186151
70.6333,147.9167,233.03,100,86,1.12,RU,1644186153
21.4612,-71.1419,298.13,53,20,4.12,TC,1644186154
68.8193,-51.1922,256.29,99,100,2.49,GL,1644186155
57.8364,24.75,274.47,98,100,2.72,LV,1644186158
5.6667,15.9667,292.86,28,3,1.95,CF,1644186159
-20.9373,55.2919,298.15,76,98,5.04,RE,1644186161
-14.9003,50.2788,297.8,86,100,1.47,MG,1644186162
51.064,-0.3272,280.38,67,0,7.2,GB,1644186163
67.6803,53.1512,261.9,89,100,6.77,RU,1644186078
36.8197,21.7049,286.6,77,80,2.63,GR,1644186166
-5.6667,132.75,301.23,75,100,1.75,ID,1644186167
-1.1303,12.4736,296.71,78,57,1.23,GA,1644186169
54.3161,-130.3201,282.2,71,100,10.29,CA,1644186171
32.3754,15.0925,288.36,76,99,2.32,LY,1644186173
11.2842,49.1816,295.49,72,88,0.17,SO,1644186174
39.4816,62.9137,277.07,59,100,1.75,TM,1644186175
25.65,77.9,284.24,53,0,2.01,IN,1644186177
-18.9,-66.7667,284.54,64,54,4.7,BO,1644186023
-38.5473,-58.7368,290.95,71,86,6.9,AR,1644186179
55.7503,38.0042,269.38,97,100,2.58,RU,1644186180
12.25,109.1833,295.15,91,52,2.7,VN,1644186182
-2.6833,111.6167,296.46,98,100,0.75,ID,1644186183
-7.5,-36.1333,299.9,55,4,7.81,BR,1644186184
-37.5662,143.8496,293.14,41,0,3.03,AU,1644186165
-21.5667,21.7833,296.74,46,85,5.51,BW,1644186187
51.485,104.8461,263.83,80,74,1.77,RU,1644186188
37.3394,-121.895,295.7,36,0,1.79,US,1644186002
-26.6481,15.1594,293.96,71,37,1.54,NA,1644186191
37.3191,-8.8033,285.06,70,3,3.37,PT,1644186192
5.3833,-52.95,298.78,87,100,3.96,GF,1644186017
34.1667,77.5833,261.5,91,96,1.13,IN,1644186187
23.1,80.05,286.6,28,0,1.44,IN,1644186196
-6.7669,-43.0225,299.85,75,67,2.2,BR,1644186197
54.4333,113.6,249.08,96,28,1.58,RU,1644186198
25.9018,-97.4975,291.21,63,100,2.57,US,1644186200
18.217,-63.0578,298.23,73,75,5.66,AI,1644186202
58.8053,-122.7002,265.92,86,75,1.03,CA,1644186203
6.8833,73.1,299.8,72,68,3.65,MV,1644186199
9.4942,50.8122,297.17,74,75,6.4,SO,1644186206
29.9576,122.298,279.38,80,100,7.16,CN,1644186207
-7.8447,-79.1469,294.45,63,94,4.31,PE,1644186208
-4.7561,11.8578,298.41,89,94,3.01,CG,1644186210
17.0818,122.4157,296.2,89,100,5.27,PH,1644186211
26.8865,88.0718,278.18,84,44,1.21,NP,1644186212
10.3997,-75.5144,301.94,61,20,7.2,CO,1644186089
59.5833,151.2833,257.12,72,72,4.67,RU,1644186215
70.6634,23.6821,269.4,74,0,5.66,NO,1644186014
-6.2167,155.6333,301.41,75,100,3.36,PG,1644186219
-24.6,26.4333,293.63,61,89,1.22,BW,1644186220
-30.5167,151.65,286.93,80,69,4.54,AU,1644186221
27.3167,103.7167,266.25,98,45,1.15,CN,1644186223
10.6333,-8.6833,298.8,12,0,2.23,GN,1644186224
32.2486,72.1108,284.83,46,27,2.19,PK,1644186225
